videoId,publishedAt,channelId,channelTitle,title,description,viewCount,likeCount,commentCount,favoriteCount,categoryId
XugQI_Jd34I,2007-09-27T05:12:57Z,UCksreiMD4ClVMhFp58t1Pew,eraldao,$ouD-Counter Strike,CS,237,0,0,0,17
oFlcH_ltaV4,2007-09-13T01:31:03Z,UCrZc0o58y4k7V5A9oIIkYgw,dropweb,Counter Strike Source!!!,Counter Strike Source!!!,236,0,1,0,24
Of5zCj0bYdo,2007-09-15T09:36:03Z,UCSiBttaYC0e6ZEKFYMS9S6g,Larsslarss,Counter-Strike-Low-Midd,"cs1,6, Counter-Strike,",235,0,1,0,24
3hNMUHXKw5I,2007-09-30T14:47:38Z,UC8IIP-P4Fzkl9e0NNNto1bg,Liran Nahum,NuBoB - Movie,GaMeR Clan,234,3,1,0,1
sOWo2WIDiok,2007-09-14T02:27:37Z,UCGvInZQrGYK-BlN8nXPLIqg,jermycounter,Counter-strike source PR_o movie,"I just started it, sorry for the low graphics ill fix this!",231,0,0,0,1
pw1uMGDurv0,2007-09-30T16:51:25Z,UCkHJfih78t4n0WCmDGnf5WA,zaraki0000,F.T.T.E Counter Strike Video..,"we r noob..
please coment our video..",223,0,1,0,24
uMkL0j1xp1g,2007-09-18T17:56:21Z,UCZ4n9GWGHekLKhNkv-rxw8w,macujuss,counter strike Dead Bodies,counter strike,214,3,0,0,1
1iSA1XvbbFE,2007-09-12T03:55:03Z,UCBXuXqvdSeEma6cP1SRMQEA,Nitin Pandula,Counter Strike -- 300,"Awesome vdo
Do chk it out!!",212,1,0,0,23
ZgN_etEsenc,2007-09-24T02:06:02Z,UCcFu-BPsUroeVVP7Fz8DRbw,npfteam,counter-strike,...,212,1,3,0,24
ONcmPkCIn7Q,2007-09-30T23:05:54Z,UCwjqvL69_Twsyry236WjYjA,Bimboneko,Cs strike Neko,aqui una coxina aburria qu eisimos en 15 segundo o algo asi xD,211,0,0,0,24
L3GnL0rviNg,2007-09-02T06:21:53Z,UCb3bgSDbEzZalSh8MgelViw,cmeans37,Counter-strike 1.6,a few frags in scrims,199,1,0,0,17
6qa8qok11LE,2007-09-24T17:32:42Z,UCScB2dfNOI5CFtpll-2tUGA,Lokolej,Counter-Strike - Manah Manah,Me and my friend on a LAN-Party trying to kill eachother....,198,0,2,0,24
GMyQ7uYvGZI,2007-09-05T17:34:41Z,UC8c_hzH34GaFGad9ysRIieg,tugaeron,Counter strike source,i play counter strike source . if you wanna join plz visit our website!,196,0,0,0,24
odjvF-dXduo,2007-09-10T16:56:38Z,UCQUlsnHU44h518d-okEaS_A,dillzweed,counter-strike placement match,CS PLACEMENT MATCH,195,2,1,0,24
MYcxDAqAejE,2007-09-04T11:40:04Z,UCcqCgLyX9gbQMYfYj4kVbeg,Juraj Norulak,Counter Strike frags,im noob =),194,0,0,0,24
tNe5xMvUZww,2007-09-13T18:05:59Z,UCslGXoEM9N1pij9jpDHULRA,Nepagydomas,counter strike by munky 2007 part:2,cs 11.6 by munky 2007,193,0,0,0,24
-eY-RUZ8KOs,2007-09-17T20:03:27Z,UCTbVT_jDN_d4eaJLLJ_SfwA,xDICKHEADERx,Counter Strike Source Skill Movii3 :),Yeas Look @ The God xD HAHA,192,1,0,0,24
54Gew4A1aEk,2007-09-03T12:41:57Z,UC-F9qUqmmD_j8KnxEpj_nOA,walkerjoe123,3dwarrior counter strike source,my ownage on css counter strike source,191,0,0,0,24
6_JQLbnNq_4,2007-09-08T05:35:01Z,UC9zKBMpu-GahVxdJfApVh0w,Vaudix Kroeger,Counter-Strike: Source Fun with Naam 2,"Song: Scared - Three Days Grace

Map: cs_office",191,1,0,0,10
Ie0iBmO17xI,2007-09-15T10:15:42Z,UCEPcJtDzuBph4hVE9bRv52g,Junior Barbosa,Counter Strike,Meu Clã...,189,0,0,0,17
JMDDwWA7b8Y,2007-09-23T21:20:00Z,UCJiEwdOQ-HmxQ56bI5rT9CQ,exilion234,exilioN-Counter Strike 1.6,Chapter 1,188,0,0,0,24
w9C0KK55SBY,2007-09-04T05:34:21Z,UC1GAzGwzY1PQ3-0lGzHh8aA,RewicoPL,Counter Strike *3.H-h*,Counter Strike *3.H-h* Film :),186,1,0,0,2
